H_sapiens_3649790,Homo sapiens,9606,HOMOSAPI0
H_sapiens_3928429,Homo sapiens,9606,HOMOSAPI0
H_sapiens_46909599,Homo sapiens,9606,HOMOSAPI0
H_sapiens_54292119,Homo sapiens,9606,HOMOSAPI0
H_sapiens_256773263,Homo sapiens,9606,HOMOSAPI0
H_sapiens_98985827,Homo sapiens,9606,HOMOSAPI0
H_sapiens_354983502,Homo sapiens,9606,HOMOSAPI0
H_sapiens_223718684,Homo sapiens,9606,HOMOSAPI0
H_sapiens_73747882,Homo sapiens,9606,HOMOSAPI0
H_sapiens_315434189,Homo sapiens,9606,HOMOSAPI0
H_sapiens_73747888,Homo sapiens,9606,HOMOSAPI0
H_sapiens_OG,Homo sapiens,9606,HOMOSAPI0
H_sapiens_56121814,Homo sapiens,9606,HOMOSAPI0
Homo_sapiens_3252857,Homo sapiens,9606,HOMOSAPI0
Homo_sapiens_49456710,Homo sapiens,9606,HOMOSAPI0
Homo_sapiens_30371,Homo sapiens,9606,HOMOSAPI0
Homo_sapiens_49456928,Homo sapiens,9606,HOMOSAPI0
Homo_sapiens_48145860,Homo sapiens,9606,HOMOSAPI0
Homo_sapiens_1488690,Homo sapiens,9606,HOMOSAPI0
Homo_sapiens_226823231,Homo sapiens,9606,HOMOSAPI0
Homo_sapiens_190264,Homo sapiens,9606,HOMOSAPI0
Homo_sapiens_29473,Homo sapiens,9606,HOMOSAPI0
Homo_sapiens_287794,Homo sapiens,9606,HOMOSAPI0
Homo_sapiens_179402,Homo sapiens,9606,HOMOSAPI0
H_stephensii_71725675,Hoplocephalus stephensii,196418,HOPLSTEP0
H_stephensii_76886032,Hoplocephalus stephensii,196418,HOPLSTEP0
H_stephensii_76886034,Hoplocephalus stephensii,196418,HOPLSTEP0
Hoplo_stephensii_145699620,Hoplocephalus stephensii,196418,HOPLSTEP0
Hoplocephalus_stephensii_239618546,Hoplocephalus stephensii,196418,HOPLSTEP0
L_muta_88861957,Lachesis muta,8752,LACHMUTA0
L_muta_88861963,Lachesis muta,8752,LACHMUTA0
Lampetra_fluviatilis_4558792,Lampetra fluviatilis,7748,LAMPFLUV0
L_hardwickii_18000317,Lapemis hardwickii,8781,LAPEHARD0
L_hardwickii_56566178,Lapemis hardwickii,8781,LAPEHARD0
L_semifasciata_21305554,Laticauda semifasciata,8631,LATISEMI0
L_madagascariensis_156485229,Leioheterodon madagascariensis,46577,LEIOMADA0
L_madagascariensis_73346569,Leioheterodon madagascariensis,46577,LEIOMADA0
Leioheterodon_madagascariensis_156485275,Leioheterodon madagascariensis,46577,LEIOMADA0
L_poecilogyrus_156485217,Liophis poecilogyrus,338838,LIOPPOEC0
L_poecilogyrus_156485221,Liophis poecilogyrus,338838,LIOPPOEC0
L_poecilogyrus_156485223,Liophis poecilogyrus,338838,LIOPPOEC0
L_poecilogyrus_73346604,Liophis poecilogyrus,338838,LIOPPOEC0
Liophis_poecilogyrus_156485819,Liophis poecilogyrus,338838,LIOPPOEC0
Liophis_poecilogyrus_156485281,Liophis poecilogyrus,338838,LIOPPOEC0
Liophis_poecilogyrus_156485271,Liophis poecilogyrus,338838,LIOPPOEC0
M_fascicularis_293140,Macaca fascicularis,9541,MACAFASC0
